  Table : gident_346.tfits 
 Sequence  CENTER       INT        FWHM       FLUX      
      233  3550.383301    7.57859    0.09471    0.53135
      234  3550.932617    7.02744    0.11295    0.55274
      235  3552.675537    6.95017    0.06972    0.56795
      236  3553.179688    6.02405    0.06324    0.47894
      237  3553.971680    7.77437    0.10885    0.60651
      238  3554.374023    6.84260    0.06497    0.48002
      239  3554.587158    6.44344    0.10789    0.51681
      240  3554.774170    5.31545    0.06252    0.39435
      241  3555.128906    3.80706    0.11851    0.27240
      242  3555.584717    6.77471    0.10621    0.50585
      243  3555.884766    5.47879    0.08723    0.37548
      244  3556.082275    9.77604    0.10097    0.74005
      245  3556.664551    6.24497    0.08811    0.46552
      246  3556.884033    3.45930    0.10684    0.24813
      247  3557.842041    8.06738    0.08402    0.61672
      248  3558.112305    6.74003    0.07445    0.50599
      249  3558.358643    7.07110    0.11615    0.58744
      250  3558.905029    5.52273    0.06633    0.44794
      251  3560.644775    8.31940    0.10329    0.65111
      252  3560.890869    4.63981    0.07479    0.35440
      253  3561.156006    7.27449    0.09837    0.58983
      254  3561.300781    5.79395    0.08442    0.47627
      255  3561.571289    4.07101    0.08827    0.30928
      256  3563.158203    4.41649    0.06949    0.36153
      257  3563.921143    6.19236    0.35384    0.49402
      258  3564.203857    5.74340    0.15983    0.43651
      259  3564.497070    6.05930    0.08056    0.46543
      260  3566.593262    4.44199    0.09993    0.31553
      261  3567.823242    5.50502    0.13283    0.39776
      262  3567.915771    4.49664    0.06155    0.32823
      263  3568.371826    5.20182    0.10777    0.40594
      264  3577.780273    4.40460    0.08800    0.33391
      265  3582.742676    4.43644    0.09339    0.32649
      266  3615.350830    4.74729    0.08132    0.39888
      267  3615.615723    4.76258    0.08072    0.42546
      268  3616.042480    6.00798    0.08921    0.52824
      269  3616.624023    4.63223    0.07016    0.38267
      270  3617.073242    3.50556    0.08434    0.30904
      271  3617.359131    4.90357    0.08867    0.42264
      272  3617.855469    3.64687    0.10867    0.33121
      273  3618.259277    4.65092    0.08719    0.44576
      274  3618.798828    3.71574    0.10377    0.29932
      275  3619.315674    4.34193    0.09096    0.37820
      276  3619.893555    4.24722    0.09403    0.36772
      277  3620.534912    4.53643    0.08034    0.40147
      278  3621.162842    5.49297    0.07337    0.49718
      279  3621.909668    4.41874    0.07502    0.37357
      280  3622.581787    5.50235    0.06588    0.48516
      281  3623.438232    4.15651    0.06289    0.36779
      282  3624.164307    5.17335    0.08320    0.46312
      283  3625.131104    3.69983    0.00436    0.32278
      284  3625.901123    4.32183    0.07273    0.37256
      285  3627.806396    5.44696    0.10519    0.45161
      286  3629.010986    4.68006    0.07823    0.42911
      287  3629.859619    5.06421    0.16795    0.42170
      288  3632.085693    5.53282    0.09730    0.48140
      289  3632.305176    4.84758    0.07653    0.44010
      290  3633.368408    4.69973    0.06819    0.40576
      291  3633.936768    4.69150    0.09921    0.43793
      292  3634.470459    4.43492    0.09259    0.41841
      293  3635.518066    5.17975    0.10034    0.47415
      294  3636.059326    6.33844    0.08373    0.59282
      295  3637.010742    3.52753    0.09349    0.28890
      296  3638.173828    3.66479    0.11205    0.33457
      297  3638.416504    3.07392    0.06446    0.25591
      298  3638.701660    6.06090    0.09293    0.51932
      299  3639.719727    3.97357    0.07379    0.30560
