    ra          dec
319.9842590  21.9873390
319.9848030  21.9220500
319.9849530  21.9936590
319.9865370  21.9222640
319.9866450  21.9163340
319.9869750  21.9419280
319.9871310  21.9675640
319.9878780  21.9483980
319.9890280  21.9845980
319.9899480  21.9647870
319.9907230  21.9946730
319.9938670  21.9646670
319.9940000  21.9583590
319.9941530  21.9350280
319.9949840  21.9856700
319.9949890  21.9162090
319.9955870  21.9955090
319.9961500  21.9295530
319.9963780  21.9481640
319.9978870  21.9819310
319.9991140  21.9331230
319.9993530  21.9234780
319.9994500  21.9007030
319.9999090  21.9051560
319.9999730  21.9445340
320.0002140  21.9821980
320.0003640  21.9856950
320.0007450  21.9360500
320.0012230  21.9737280
320.0030730  21.9428670
320.0032640  21.9249890
320.0037170  21.9342200
320.0038310  21.9603810
320.0040030  21.9818250
320.0041170  21.9671060
320.0043920  21.9763390
320.0047060  21.9319950
320.0050280  21.9927000
320.0058140  21.9131750
320.0066170  21.9696780
320.0085030  21.9304750
320.0087090  21.9661000
320.0090170  21.9404560
320.0091090  21.9805560
320.0096140  21.9900730
320.0103920  21.9286200
320.0106000  21.9711250
320.0106450  21.9161730
320.0109920  21.9515200
320.0117250  21.9649620
320.0128560  21.9923500
320.0139060  21.9365340
320.0140730  21.9745980
320.0141140  21.9791810
320.0143140  21.9739870
320.0143780  21.9063620
320.0146870  21.9289870
320.0152890  21.9551120
320.0160140  21.9049000
320.0163590  21.9549560
320.0169530  21.9275670
320.0171870  21.9850530
320.0172370  21.9445310
320.0177480  21.9974090
320.0178500  21.9702780
320.0187640  21.9472920
320.0194250  21.9476620
320.0205920  21.9330700
320.0211590  21.9747090
320.0225230  21.9088640
320.0227000  21.9519780
320.0232950  21.9845200
320.0237120  21.9300200
320.0260120  21.9700620
320.0273530  21.9568480
320.0276670  21.9788420
320.0281230  21.9641590
320.0285620  21.9471000
320.0293640  21.9433090
320.0295060  21.9775450
320.0295780  21.9376280
320.0303590  21.9128560
320.0312420  21.9221120
320.0319450  21.9223500
320.0319640  21.9743390
320.0321810  21.9556950
320.0328120  21.9648890
320.0332420  21.9131730
320.0334000  21.9519230
320.0337090  21.9005730
320.0338670  21.9159060
320.0343250  21.9365950
320.0365840  21.9192390
320.0369700  21.9443920
320.0375170  21.9501230
320.0385310  21.9653060
320.0389280  21.9581090
320.0391420  21.9485170
320.0401870  21.9680670
320.0403950  21.9105640
320.0421780  21.9326810
320.0429530  21.9425780
320.0466700  21.9464640
320.0489030  21.9394780
320.0490280  21.9279730
319.8432200  21.8944340
319.8453000  21.8863310
319.8499590  21.8935920
319.8515170  21.8853030
319.8519120  21.8912810
319.8527120  21.8757230
319.8529810  21.8834980
319.8547030  21.8758250
319.8553500  21.8911950
319.8568810  21.8817840
319.8570230  21.8969170
319.8601480  21.8895060
319.8613230  21.8706670
319.8630530  21.8822370
319.8638750  21.8947000
319.8645840  21.8986250
319.8652310  21.8656890
319.8673140  21.8601920
319.8676030  21.8669120
319.8680280  21.8956530
319.8684590  21.8738420
319.8695120  21.8821310
319.8750530  21.8742420
319.8755090  21.8789170
319.8772230  21.8794230
319.8784340  21.8835560
319.8787980  21.8838670
319.8791060  21.8631730
319.8793780  21.8793950
319.8794120  21.8519530
319.8843120  21.8653340
319.8845140  21.8604090
319.8845200  21.8509030
319.8849450  21.8964640
319.8882810  21.8742200
319.8882870  21.8959560
319.8887310  21.8692450
319.8891560  21.8705310
319.8904000  21.8743640
319.8915450  21.8512920
319.8915780  21.8850530
319.8915890  21.8508000
319.8920000  21.8578370
319.8944280  21.8547890
319.8945640  21.8654310
319.8956840  21.8434530
319.8981590  21.8536030
319.8984450  21.8617370
319.8987670  21.8499480
319.8988230  21.8914620
319.8992890  21.8808530
319.9000890  21.8947060
319.9014840  21.8805560
319.9027280  21.8806340
319.9044030  21.8813530
319.9048450  21.8823670
319.9053090  21.8669500
319.9055620  21.8474920
319.9061750  21.8420700
319.9076870  21.8363730
319.9081950  21.8360090
319.9094170  21.8903700
319.9116500  21.8637170
319.9140420  21.8422640
319.9150140  21.8595980
319.9154370  21.8868390
319.9156340  21.8934310
319.9157980  21.8861530
319.9174920  21.8989370
319.9176730  21.8597370
319.9197750  21.8839890
319.9205730  21.8759840
319.9205980  21.8534590
319.9219000  21.8426890
319.9224840  21.8392250
319.9228950  21.8348620
319.9232560  21.8545480
319.9244810  21.8914250
319.9246980  21.8562090
319.9257500  21.8695810
319.9265620  21.8827590
319.9266450  21.8684730
319.9281120  21.8998950
319.9286890  21.8372670
319.9289450  21.8507030
319.9297230  21.8846730
319.9298670  21.8551590
319.9299950  21.8403390
319.9306090  21.8897090
319.9311640  21.8720370
319.9319870  21.8901370
319.9342750  21.8350870
319.9343170  21.8775670
319.9350450  21.8571530
319.9354730  21.8410700
