     x            y         ra           dec
750.1757202 931.5711670 319.8781505  21.8840147
997.8438721 975.8026733 319.8250122  21.8752031
196.7006226 974.9766846 319.9968833  21.8754565
 94.6041183 976.3475342 320.0187861  21.8751957
330.9076843 972.1044922 319.9680919  21.8760119
578.0019531 973.9381104 319.9150821  21.8756202
452.8457031 974.1528320 319.9419321  21.8755916
217.9834290 962.5776367 319.9923190  21.8779165
859.7166748 970.3290405 319.8546456  21.8763056
552.5994263 970.5900879 319.9205321  21.8762880
216.8868103 948.9352417 319.9925560  21.8806258
1000.2283936 968.6205444 319.8245016  21.8766292
470.5238953 968.8396606 319.9381402  21.8766447
391.0797424 962.9633179 319.9551842  21.8778206
 41.7044525 967.4962769 320.0301359  21.8769593
949.6243896 965.8521729 319.8353581  21.8771846
448.8009033 966.2618408 319.9428008  21.8771591
763.4609985 956.5350952 319.8752973  21.8790556
 64.2935410 965.9790039 320.0252900  21.8772581
973.0776367 960.2174683 319.8303273  21.8783010
686.2029419 964.6105347 319.8918706  21.8774605
489.0659180 962.8838501 319.9341631  21.8778254
 31.1063938 964.1118164 320.0324100  21.8776326
327.3999939 955.3518066 319.9688465  21.8793392
943.9033813 957.0778809 319.8365865  21.8789277
364.8499451 947.3600464 319.9608133  21.8809221
601.9629517 950.6727295 319.9099445  21.8802378
568.0894165 949.4195557 319.9172116  21.8804905
626.3052368 947.9881592 319.9047227  21.8807682
642.1943970 947.6663208 319.9013140  21.8808304
1006.1639404 940.7992554 319.8232316  21.8821535
910.6723633 935.8354492 319.8437183  21.8831499
902.8665161 918.1756592 319.8453951  21.8866578
651.9224243 946.3619995 319.8992272  21.8810883
1012.4465332 979.6934814 319.8218790  21.8744288
271.0224915 979.6668701 319.9809383  21.8745168
848.9631348 941.2503662 319.8569562  21.8820815
790.9658203 939.1616821 319.8693988  21.8825027
820.0153198 941.2861938 319.8631664  21.8820776
633.6472778 941.5065308 319.9031484  21.8820546
625.7422485 938.3533325 319.9048446  21.8826817
524.9396362 936.3735352 319.9264703  21.8830861
934.2479858 940.0775146 319.8386600  21.8823049
 28.5418205 939.9269409 320.0329631  21.8824358
273.4074097 942.3308105 319.9804313  21.8819311
242.2751770 940.1198120 319.9871104  21.8823736
869.4682617 970.9783325 319.8525535  21.8761755
 49.8965607 939.9356079 320.0283819  21.8824317
471.9141846 937.5040894 319.9378458  21.8828675
197.0047760 935.3753662 319.9968230  21.8833209
556.3156128 930.2432861 319.9197399  21.8843000
867.2425537 932.1902466 319.8530358  21.8838787
401.8795166 931.2282104 319.9528713  21.8841216
508.0005188 929.5078735 319.9301051  21.8844514
509.7591858 926.0039673 319.9297283  21.8851471
368.5995178 930.1307983 319.9600110  21.8843433
471.5498962 925.0659790 319.9379255  21.8853376
874.0831909 923.5305786 319.8515694  21.8855976
687.8372803 924.7653198 319.8915249  21.8853732
245.6193695 921.4811401 319.9863953  21.8860747
606.9548950 923.2858887 319.9088770  21.8856760
574.3529663 921.3112183 319.9158714  21.8860718
577.1950073 915.0693359 319.9152625  21.8873110
224.9739380 922.3364868 319.9908243  21.8859071
199.4737701 922.0509033 319.9962950  21.8859667
813.8567505 921.1303711 319.8644902  21.8860810
 86.3175659 978.8259888 320.0205636  21.8747044
744.3638306 953.0941162 319.8793947  21.8797411
673.6119995 919.7767334 319.8945773  21.8863655
361.6619263 915.0610352 319.9615012  21.8873367
380.9491272 908.3734131 319.9573644  21.8886627
935.3988037 917.4444580 319.8384159  21.8867994
310.1116028 917.7026978 319.9725601  21.8868179
994.2139893 914.3886108 319.8257986  21.8873997
964.9466553 911.6392212 319.8320777  21.8879490
229.8672791 911.1329956 319.9897759  21.8881315
1023.2397461 908.0842896 319.8195724  21.8886485
506.5442200 901.9089355 319.9304210  21.8899324
498.4161987 899.5084839 319.9321650  21.8904100
956.8527832 907.5437012 319.8338146  21.8887632
 52.0813828 904.0477905 320.0279176  21.8895584
429.2904968 905.0494385 319.9469940  21.8893174
834.0007935 902.5939331 319.8601709  21.8897599
933.3922119 902.1316528 319.8388483  21.8898406
304.0886536 901.7825928 319.9738542  21.8899801
962.2911987 899.9883423 319.8326488  21.8902630
604.5881958 898.1088867 319.9093878  21.8906762
216.9192963 898.8331909 319.9925552  21.8905755
178.6015778 898.4756470 320.0007756  21.8906508
138.2656555 893.1420288 320.0094296  21.8917145
681.9893799 897.9588623 319.8927828  21.8906973
770.0370483 897.4892578 319.8738938  21.8907808
 74.3303375 896.4025879 320.0231454  21.8910741
653.9768677 892.8206177 319.8987930  21.8917208
